Distrito;SR_RP;SR_RC;RP_RC
1;1.29712378;1.325885978;1.022173827
2;1.091942494;1.502507523;1.375995101
3;1.05;1.207692308;1.15018315
4;1.188617574;1.26533359;1.064542219
5;1.084950308;1.332465689;1.228135224
6;1.027643844;1.165220186;1.133875508
7;1.069137562;1.325017819;1.239333333
8;1.112367491;1.293992933;1.163278272
9;1.106293285;1.383920506;1.25095264
10;1.293012331;1.449207281;1.120799273
11;1.242561449;1.416558862;1.140031234
12;1.136363636;1.380050505;1.214444444
13;1.162824207;1.426512968;1.226765799
14;1.066953611;1.292682927;1.211564321
15;1.171020408;1.568571429;1.339491112
16;1.135477583;1.162768031;1.024034335
17;1.195983936;1.434538153;1.199462727
18;1.088565763;1.514210178;1.391013965
19;1.165540541;1.373873874;1.178743961
20;1.463851567;1.474088292;1.006993007
21;1.63016158;1.563285458;0.958975771
